TRACTCE10,GEOID10,NAME10,NAMELSAD10,INTPTLAT10,INTPTLON10,nit_long,COUNTYNS10,NAME10_1,NAMELSAD_1,INTPTLAT_1,INTPTLON_1,cancer_num,CID_sum
190100,55037190100,1901,Census Tract 1901,+45.9196317,-088.3668177,5,01581078,Florence,Florence County,+45.8496459,-088.4003217,3,48
190200,55037190200,1902,Census Tract 1902,+45.7916417,-088.4102346,5,01581078,Florence,Florence County,+45.8496459,-088.4003217,11,176
950300,55019950300,9503,Census Tract 9503,+44.9685240,-090.7894199,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,9,18
950700,55019950700,9507,Census Tract 9507,+44.6203635,-090.6036756,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,1,2
950600,55019950600,9506,Census Tract 9506,+44.5621159,-090.4268660,4,01581069,Clark,Clark County,+44.7335964,-090.6102007,13,26
950800,55019950800,9508,Census Tract 9508,+44.5759654,-090.7481080,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,28,56
950200,55019950200,9502,Census Tract 9502,+44.9521808,-090.5205515,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,14,28
950500,55019950500,9505,Census Tract 9505,+44.7920870,-090.4320872,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,10,20
950400,55019950400,9504,Census Tract 9504,+44.8087893,-090.7306337,6,01581069,Clark,Clark County,+44.7335964,-090.6102007,15,30
950100,55019950100,9501,Census Tract 9501,+44.9773747,-090.3669679,5,01581069,Clark,Clark County,+44.7335964,-090.6102007,5,10
021100,55031021100,211,Census Tract 211,+46.7359630,-092.1106505,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
990000,55031990000,9900,Census Tract 9900,+46.7696715,-091.7360362,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,7,49
020900,55031020900,209,Census Tract 209,+46.7001826,-092.0471686,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
020600,55031020600,206,Census Tract 206,+46.7113986,-092.1051515,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
020500,55031020500,205,Census Tract 205,+46.7133998,-092.0900248,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
020400,55031020400,204,Census Tract 204,+46.7165688,-092.0650508,1,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
950600,55049950600,9506,Census Tract 9506,+42.8707141,-090.1473910,9,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,15,45
950400,55049950400,9504,Census Tract 9504,+42.9516790,-090.1148970,9,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,13,39
950300,55049950300,9503,Census Tract 9503,+42.9232910,-090.3186485,4,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,52,156
950500,55049950500,9505,Census Tract 9505,+42.9224828,-089.9491153,9,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,63,189
950200,55049950200,9502,Census Tract 9502,+43.0985827,-090.3081222,9,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,61,183
950100,55049950100,9501,Census Tract 9501,+43.0860868,-090.0038974,9,01581084,Iowa,Iowa County,+43.0010208,-090.1336915,58,174
020300,55031020300,203,Census Tract 203,+46.7265630,-092.0834575,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,0,0
020800,55031020800,208,Census Tract 208,+46.6783481,-092.0836463,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,2,14
020700,55031020700,207,Census Tract 207,+46.6969120,-092.1615822,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,4,28
030200,55031030200,302,Census Tract 302,+46.5558694,-092.0786793,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,11,77
030300,55031030300,303,Census Tract 303,+46.3239778,-091.9306552,1,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,54,378
030100,55031030100,301,Census Tract 301,+46.5991930,-091.7341833,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,16,112
021000,55031021000,210,Census Tract 210,+46.6687751,-091.9892030,0,01581075,Douglas,Douglas County,+46.4633156,-091.8925795,1,7
002300,55059002300,23,Census Tract 23,+42.5500416,-087.8455670,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,1,14
002200,55059002200,22,Census Tract 22,+42.5622039,-087.8338751,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
002100,55059002100,21,Census Tract 21,+42.5492173,-087.8277805,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001800,55059001800,18,Census Tract 18,+42.5708988,-087.8219236,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001700,55059001700,17,Census Tract 17,+42.5687087,-087.8348495,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001300,55059001300,13,Census Tract 13,+42.5848378,-087.8696181,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001200,55059001200,12,Census Tract 12,+42.5827909,-087.8473597,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
001100,55059001100,11,Census Tract 11,+42.5805618,-087.8335364,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
000900,55059000900,9,Census Tract 9,+42.5921926,-087.8310760,5,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
000800,55059000800,8,Census Tract 8,+42.5951890,-087.8407654,4,01581089,Kenosha,Kenosha County,+42.5797028,-087.4248983,0,0
100600,55047100600,1006,Census Tract 1006,+43.7035669,-088.9972301,3,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,44,176
100500,55047100500,1005,Census Tract 1005,+43.7300445,-089.1607755,3,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,28,112
100400,55047100400,1004,Census Tract 1004,+43.8351715,-088.9452848,3,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,28,112
100300,55047100300,1003,Census Tract 1003,+43.8841908,-089.1185091,2,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,49,196
020800,55015020800,208,Census Tract 208,+44.2309636,-088.3694301,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,0,0
020700,55015020700,207,Census Tract 207,+44.2323558,-088.3352107,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,0,0
100200,55047100200,1002,Census Tract 1002,+43.9779017,-088.9680492,3,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,1,4
100100,55047100100,1001,Census Tract 1001,+43.9577761,-088.9357363,3,01581083,Green Lake,Green Lake County,+43.7614097,-088.9872277,8,32
020308,55015020308,203.08,Census Tract 203.08,+44.2059841,-088.3654609,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,3,18
020303,55015020303,203.03,Census Tract 203.03,+44.2385821,-088.3934772,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,0,0
020304,55015020304,203.04,Census Tract 203.04,+44.2396229,-088.3723045,3,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,0,0
020306,55015020306,203.06,Census Tract 203.06,+44.1906286,-088.3236295,2,01581067,Calumet,Calumet County,+44.0784104,-088.2121322,14,84
960500,55061960500,9605,Census Tract 9605,+44.3925871,-087.6338331,4,01581090,Kewaunee,Kewaunee County,+44.5009489,-087.1618133,14,126
180300,55051180300,1803,Census Tract 1803,+46.1293308,-090.0783931,1,01581085,Iron,Iron County,+46.3265500,-090.2612985,11,11
960400,55061960400,9604,Census Tract 9604,+44.5483182,-087.6555325,4,01581090,Kewaunee,Kewaunee County,+44.5009489,-087.1618133,24,216
180100,55051180100,1801,Census Tract 1801,+46.4376226,-090.2071929,1,01581085,Iron,Iron County,+46.3265500,-090.2612985,0,0
960200,55061960200,9602,Census Tract 9602,+44.6109001,-087.5112345,4,01581090,Kewaunee,Kewaunee County,+44.5009489,-087.1618133,14,126
180200,55051180200,1802,Census Tract 1802,+46.3625143,-090.3695329,1,01581085,Iron,Iron County,+46.3265500,-090.2612985,12,12
990000,55051990000,9900,Census Tract 9900,+46.6929178,-090.4165893,1,01581085,Iron,Iron County,+46.3265500,-090.2612985,5,5
100300,55057100300,1003,Census Tract 1003,+43.9594681,-090.0572350,4,01581088,Juneau,Juneau County,+43.9328362,-090.1139837,9,90
100500,55057100500,1005,Census Tract 1005,+43.7860500,-090.0856510,4,01581088,Juneau,Juneau County,+43.9328362,-090.1139837,1,10
100600,55057100600,1006,Census Tract 1006,+43.6950269,-090.2402654,4,01581088,Juneau,Juneau County,+43.9328362,-090.1139837,8,80
101702,55055101702,1017.02,Census Tract 1017.02,+43.1582243,-088.6050715,4,01581087,Jefferson,Jefferson County,+43.0138065,-088.7739855,26,130
