TRACTCE10,GEOID10,NAME10,NAMELSAD10,INTPTLAT10,INTPTLON10,nit_long,COUNTYNS10,NAME10_1,NAMELSAD_1,INTPTLAT_1,INTPTLON_1,cancer_num,CID_sum
950300,55003950300,9503,Census Tract 9503,46.5736346,-90.8771567,1,1581061,Ashland,Ashland County,46.5462905,-90.6651539,1,0
950400,55003950400,9504,Census Tract 9504,46.5720867,-90.9074876,2,1581061,Ashland,Ashland County,46.5462905,-90.6651539,1,0
401,55009000401,4.01,Census Tract 4.01,44.5269473,-88.0511528,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
600,55009000600,6,Census Tract 6,44.50792,-88.0536456,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
700,55009000700,7,Census Tract 7,44.5089442,-88.0400955,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
800,55009000800,8,Census Tract 8,44.5057243,-88.0283036,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
1100,55009001100,11,Census Tract 11,44.511726,-87.9934333,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
1200,55009001200,12,Census Tract 12,44.5097968,-88.0016513,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
1300,55009001300,13,Census Tract 13,44.5019763,-88.0112051,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
20900,55009020900,209,Census Tract 209,44.4780117,-88.0217881,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
21100,55009021100,211,Census Tract 211,44.4703632,-88.0366857,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
21301,55009021301,213.01,Census Tract 213.01,44.4996874,-88.0724621,1,1581064,Brown,Brown County,44.4739612,-87.9959258,1,0
960200,55011960200,9602,Census Tract 9602,44.5750896,-91.6574074,5,1581065,Buffalo,Buffalo County,44.3897593,-91.7587135,1,0
20303,55015020303,203.03,Census Tract 203.03,44.2385821,-88.3934772,2,1581067,Calumet,Calumet County,44.0784104,-88.2121322,1,0
20304,55015020304,203.04,Census Tract 203.04,44.2396229,-88.3723045,3,1581067,Calumet,Calumet County,44.0784104,-88.2121322,1,0
20700,55015020700,207,Census Tract 207,44.2323558,-88.3352107,2,1581067,Calumet,Calumet County,44.0784104,-88.2121322,1,0
20800,55015020800,208,Census Tract 208,44.2309636,-88.3694301,2,1581067,Calumet,Calumet County,44.0784104,-88.2121322,1,0
10300,55017010300,103,Census Tract 103,44.9342195,-91.4103546,6,1581068,Chippewa,Chippewa County,45.0690918,-91.2835054,1,0
960500,55023960500,9605,Census Tract 9605,43.0546025,-91.145863,4,1581071,Crawford,Crawford County,43.24991,-90.9512302,1,0
960600,55023960600,9606,Census Tract 9606,43.0331969,-91.1314609,2,1581071,Crawford,Crawford County,43.24991,-90.9512302,1,0
100,55025000100,1,Census Tract 1,43.0829323,-89.4753927,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
201,55025000201,2.01,Census Tract 2.01,43.0673531,-89.4762966,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
202,55025000202,2.02,Census Tract 2.02,43.0683436,-89.493564,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
300,55025000300,3,Census Tract 3,43.0676496,-89.4602648,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
402,55025000402,4.02,Census Tract 4.02,43.051366,-89.4654159,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
405,55025000405,4.05,Census Tract 4.05,43.0464515,-89.5137663,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
407,55025000407,4.07,Census Tract 4.07,43.0401727,-89.4893192,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
408,55025000408,4.08,Census Tract 4.08,43.0574013,-89.4897068,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
503,55025000503,5.03,Census Tract 5.03,43.0227,-89.4860657,9,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
504,55025000504,5.04,Census Tract 5.04,43.0237697,-89.5156546,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
700,55025000700,7,Census Tract 7,43.0425826,-89.4452491,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
901,55025000901,9.01,Census Tract 9.01,43.0651917,-89.4227799,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1000,55025001000,10,Census Tract 10,43.0587213,-89.4305201,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1101,55025001101,11.01,Census Tract 11.01,43.0705626,-89.4073908,6,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1102,55025001102,11.02,Census Tract 11.02,43.075823,-89.4094026,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1200,55025001200,12,Census Tract 12,43.0625975,-89.4056146,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1300,55025001300,13,Census Tract 13,43.055162,-89.3914512,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1401,55025001401,14.01,Census Tract 14.01,43.0429984,-89.3861021,5,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1603,55025001603,16.03,Census Tract 16.03,43.0734025,-89.3954297,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1604,55025001604,16.04,Census Tract 16.04,43.0766186,-89.392231,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1605,55025001605,16.05,Census Tract 16.05,43.06758,-89.3896342,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1606,55025001606,16.06,Census Tract 16.06,43.0701393,-89.3956338,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1704,55025001704,17.04,Census Tract 17.04,43.0729164,-89.3860992,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1705,55025001705,17.05,Census Tract 17.05,43.0765803,-89.382177,11,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1802,55025001802,18.02,Census Tract 18.02,43.087504,-89.3747347,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1804,55025001804,18.04,Census Tract 18.04,43.097723,-89.3658126,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
1900,55025001900,19,Census Tract 19,43.0854583,-89.3620892,6,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2000,55025002000,20,Census Tract 20,43.0975675,-89.338827,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2200,55025002200,22,Census Tract 22,43.1211036,-89.3623704,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2301,55025002301,23.01,Census Tract 23.01,43.1316144,-89.3793035,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2401,55025002401,24.01,Census Tract 24.01,43.1442934,-89.377545,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2601,55025002601,26.01,Census Tract 26.01,43.1119478,-89.3222936,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2603,55025002603,26.03,Census Tract 26.03,43.1176516,-89.3013136,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
2900,55025002900,29,Census Tract 29,43.058914,-89.3180168,4,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
3100,55025003100,31,Census Tract 31,43.0677589,-89.3011177,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
3200,55025003200,32,Census Tract 32,43.0812829,-89.4326452,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
10100,55025010100,101,Census Tract 101,43.0790174,-89.4487045,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
10701,55025010701,107.01,Census Tract 107.01,42.9943478,-89.4435963,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
11000,55025011000,110,Census Tract 110,43.0919437,-89.5035626,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
11101,55025011101,111.01,Census Tract 111.01,43.101437,-89.4997977,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
11505,55025011505,115.05,Census Tract 115.05,43.1864341,-89.2254458,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
12202,55025012202,122.02,Census Tract 122.02,42.9289547,-89.2362492,10,1581072,Dane,Dane County,43.0674684,-89.4178523,1,0
961000,55027961000,9610,Census Tract 9610,43.4459982,-88.8544407,3,1581073,Dodge,Dodge County,43.4227057,-88.7043791,1,0
961900,55027961900,9619,Census Tract 9619,43.2074278,-88.7303086,3,1581073,Dodge,Dodge County,43.4227057,-88.7043791,1,0
962000,55027962000,9620,Census Tract 9620,43.2018836,-88.7140749,3,1581073,Dodge,Dodge County,43.4227057,-88.7043791,1,0
100700,55029100700,1007,Census Tract 1007,44.845082,-87.3284879,3,1581074,Door,Door County,45.067808,-87.0879363,1,0
20300,55031020300,203,Census Tract 203,46.726563,-92.0834575,0,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
20400,55031020400,204,Census Tract 204,46.7165688,-92.0650508,1,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
20500,55031020500,205,Census Tract 205,46.7133998,-92.0900248,0,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
20600,55031020600,206,Census Tract 206,46.7113986,-92.1051515,0,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
20900,55031020900,209,Census Tract 209,46.7001826,-92.0471686,0,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
21100,55031021100,211,Census Tract 211,46.735963,-92.1106505,0,1581075,Douglas,Douglas County,46.4633156,-91.8925795,1,0
501,55035000501,5.01,Census Tract 5.01,44.8520404,-91.5012091,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
502,55035000502,5.02,Census Tract 5.02,44.8447743,-91.4542026,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
700,55035000700,7,Census Tract 7,44.8041028,-91.4793975,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
801,55035000801,8.01,Census Tract 8.01,44.7878589,-91.4807709,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
1101,55035001101,11.01,Census Tract 11.01,44.8095751,-91.4987236,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
1400,55035001400,14,Census Tract 14,44.8272544,-91.5278766,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
1700,55035001700,17,Census Tract 17,44.7978508,-91.5006309,6,1581077,Eau Claire,Eau Claire County,44.7263547,-91.2864137,1,0
40100,55039040100,401,Census Tract 401,43.7910031,-88.4320982,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
40200,55039040200,402,Census Tract 402,43.7919681,-88.4477887,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
40300,55039040300,403,Census Tract 403,43.7882212,-88.471313,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
40400,55039040400,404,Census Tract 404,43.7736851,-88.470004,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
40800,55039040800,408,Census Tract 408,43.7675403,-88.4396334,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
40900,55039040900,409,Census Tract 409,43.7717823,-88.4283411,2,1581079,Fond du Lac,Fond du Lac County,43.7547219,-88.493284,1,0
