GEOID10,nit_long,NAMELSAD_1,cancer_num,CID_sum,ID
55001950100,5,Adams County,12,216,276
55001950201,6,Adams County,5,90,273
55001950202,5,Adams County,22,396,275
55001950400,5,Adams County,14,252,278
55001950501,5,Adams County,7,126,272
55001950502,5,Adams County,11,198,274
55001950700,6,Adams County,19,342,277
55003940000,0,Ashland County,6,312,725
55003950300,1,Ashland County,0,0,730
55003950400,2,Ashland County,0,0,729
55003950500,0,Ashland County,2,104,727
55003950600,1,Ashland County,7,364,726
55003950700,0,Ashland County,7,364,728
55003950800,0,Ashland County,9,468,724
55003990000,0,Ashland County,15,780,731
55005000100,9,Barron County,20,1100,1315
55005000200,4,Barron County,13,715,1311
55005000300,4,Barron County,16,880,1313
55005000400,4,Barron County,6,330,1317
55005000500,5,Barron County,1,55,1312
55005000600,4,Barron County,3,165,1310
55005000800,4,Barron County,21,1155,1316
55005000900,4,Barron County,33,1815,1314
55005001001,4,Barron County,9,495,1309
55005001002,4,Barron County,11,605,1308
55007960100,0,Bayfield County,8,272,558
55007960200,0,Bayfield County,11,374,562
55007960300,0,Bayfield County,3,102,561
55007960400,0,Bayfield County,9,306,560
55007960600,0,Bayfield County,6,204,559
55007990000,0,Bayfield County,5,170,557
55009000100,1,Brown County,3,186,1251
55009000200,1,Brown County,1,62,1250
55009000302,1,Brown County,2,124,1265
55009000303,1,Brown County,1,62,1249
55009000401,1,Brown County,0,0,1248
55009000402,1,Brown County,1,62,1247
55009000500,2,Brown County,2,124,1246
55009000600,1,Brown County,0,0,1245
55009000700,1,Brown County,0,0,1244
55009000800,1,Brown County,0,0,1243
55009000900,2,Brown County,3,186,1242
55009001000,1,Brown County,1,62,1241
55009001100,1,Brown County,0,0,1240
55009001200,1,Brown County,0,0,1239
55009001300,1,Brown County,0,0,1238
55009001400,1,Brown County,2,124,1237
55009001600,1,Brown County,1,62,1257
55009001701,1,Brown County,4,248,1144
55009001702,3,Brown County,3,186,1173
55009001801,0,Brown County,6,372,1235
55009001802,1,Brown County,11,682,1234
55009002001,1,Brown County,3,186,1212
55009002002,1,Brown County,1,62,1256
55009002003,1,Brown County,2,124,1211
55009010100,1,Brown County,1,62,1272
55009010201,1,Brown County,1,62,1263
55009010202,0,Brown County,1,62,1254
55009010300,1,Brown County,3,186,1253
55009020100,1,Brown County,97,6014,1213
55009020203,2,Brown County,33,2046,1169
55009020204,1,Brown County,14,868,1172
55009020502,3,Brown County,9,558,1210
55009020503,1,Brown County,5,310,1145
55009020504,1,Brown County,5,310,1170
55009020600,1,Brown County,46,2852,1255
55009020702,1,Brown County,29,1798,1252
55009020703,1,Brown County,5,310,1168
55009020704,1,Brown County,8,496,1171
55009020800,1,Brown County,3,186,1271
55009020900,1,Brown County,0,0,1270
55009021000,1,Brown County,3,186,1269
55009021100,1,Brown County,0,0,1268
55009021200,1,Brown County,2,124,1267
55009021301,1,Brown County,0,0,1261
55009021302,1,Brown County,1,62,1260
55009021303,1,Brown County,5,310,1258
55009021304,1,Brown County,2,124,1259
55009021400,1,Brown County,39,2418,1208
55009021500,1,Brown County,66,4092,1209
55009021600,1,Brown County,25,1550,1143
55009940001,1,Brown County,55,3410,1262
55009940002,1,Brown County,5,310,1264
55009940003,1,Brown County,1,62,1236
55009940004,1,Brown County,1,62,1266
55011960100,8,Buffalo County,12,0,154
55011960200,5,Buffalo County,0,0,147
55011960300,5,Buffalo County,10,0,155
55011960400,5,Buffalo County,2,0,152
55011960500,5,Buffalo County,12,0,168
55013970400,1,Burnett County,11,550,963
55013970600,1,Burnett County,14,700,965
55013970700,1,Burnett County,7,350,962
55013970800,1,Burnett County,7,350,966
55013970900,1,Burnett County,12,600,964
55013971000,1,Burnett County,5,250,967
55015020100,2,Calumet County,12,72,117
55015020200,0,Calumet County,35,210,90
55015020303,2,Calumet County,0,0,48
55015020304,3,Calumet County,0,0,49
55015020306,2,Calumet County,14,84,50
55015020308,2,Calumet County,3,18,47
55015020400,2,Calumet County,32,192,116
55015020500,2,Calumet County,11,66,89
55015020600,2,Calumet County,14,84,88
55015020700,2,Calumet County,0,0,44
55015020800,2,Calumet County,0,0,43
55017010100,6,Chippewa County,2,72,654
55017010200,6,Chippewa County,1,36,651
55017010300,6,Chippewa County,0,0,652
55017010400,7,Chippewa County,24,864,646
55017010500,1,Chippewa County,3,108,653
55017010700,6,Chippewa County,12,432,650
55017010800,5,Chippewa County,20,720,649
55017010900,6,Chippewa County,32,1152,645
55017011000,6,Chippewa County,32,1152,644
55017011100,6,Chippewa County,37,1332,647
55017011200,6,Chippewa County,19,684,648
55019950100,5,Clark County,5,10,9
55019950200,5,Clark County,14,28,6
55019950300,5,Clark County,9,18,2
55019950400,6,Clark County,15,30,8
55019950500,5,Clark County,10,20,7
55019950600,4,Clark County,13,26,4
55019950700,5,Clark County,1,2,3
55019950800,5,Clark County,28,56,5
55021970100,8,Columbia County,75,3975,926
55021970200,8,Columbia County,31,1643,923
55021970300,8,Columbia County,26,1378,929
55021970400,8,Columbia County,7,371,928
55021970500,8,Columbia County,3,159,922
55021970600,7,Columbia County,56,2968,927
55021970700,8,Columbia County,25,1325,933
55021970800,9,Columbia County,12,636,932
55021970900,8,Columbia County,31,1643,931
55021971000,8,Columbia County,49,2597,930
55021971100,8,Columbia County,48,2544,924
55021971200,8,Columbia County,7,371,925
55023960100,4,Crawford County,11,187,151
55023960200,4,Crawford County,15,255,148
55023960300,4,Crawford County,16,272,150
55023960400,3,Crawford County,14,238,149
55023960500,4,Crawford County,0,0,146
55023960600,2,Crawford County,0,0,153
55025000100,10,Dane County,0,0,672
55025000201,10,Dane County,0,0,671
55025000202,10,Dane County,0,0,670
55025000204,10,Dane County,1,38,669
55025000205,10,Dane County,2,76,666
55025000300,10,Dane County,0,0,665
55025000401,10,Dane County,1,38,664
55025000402,10,Dane County,0,0,663
55025000405,10,Dane County,0,0,577
55025000406,10,Dane County,2,76,530
55025000407,10,Dane County,0,0,550
55025000408,10,Dane County,0,0,578
55025000501,10,Dane County,1,38,660
